match_id,barca_played,home_team,away_team,match_date,season
69212,True,Barcelona,Atlético Madrid,2008-10-04,2008/2009
69235,True,Málaga,Barcelona,2008-11-01,2008/2009
69232,True,Barcelona,Almería,2008-10-25,2008/2009
69216,True,Barcelona,Athletic Bilbao,2009-03-07,2008/2009
69209,True,Racing Santander,Barcelona,2009-02-01,2008/2009
69231,True,Barcelona,Sporting Gijón,2009-02-08,2008/2009
69217,True,Barcelona,Villarreal,2009-05-10,2008/2009
69273,True,Real Valladolid,Barcelona,2009-04-04,2008/2009
69222,True,Barcelona,Recreativo Huelva,2009-04-11,2008/2009
69223,True,Getafe,Barcelona,2009-04-18,2008/2009
69195,True,Real Betis,Barcelona,2009-02-14,2008/2009
69251,True,Valencia,Barcelona,2009-04-25,2008/2009
69185,True,Atlético Madrid,Barcelona,2009-03-01,2008/2009
69142,True,Barcelona,Málaga,2009-03-22,2008/2009
69139,True,Barcelona,Espanyol,2009-02-21,2008/2009
69189,True,Barcelona,Numancia,2009-01-24,2008/2009
69171,True,Sevilla,Barcelona,2008-11-29,2008/2009
69249,True,Real Madrid,Barcelona,2009-05-02,2008/2009
69215,True,Barcelona,Racing Santander,2008-09-13,2008/2009
69138,True,Sporting Gijón,Barcelona,2008-09-21,2008/2009
69147,True,Numancia,Barcelona,2008-08-31,2008/2009
69177,True,Almería,Barcelona,2009-03-15,2008/2009
69207,True,Barcelona,Real Betis,2008-09-24,2008/2009
69228,True,Villarreal,Barcelona,2008-12-21,2008/2009
69183,True,Barcelona,Deportivo La Coruna,2009-01-17,2008/2009
69279,True,Barcelona,Real Valladolid,2008-11-08,2008/2009
69285,True,Recreativo Huelva,Barcelona,2008-11-16,2008/2009
69211,True,Espanyol,Barcelona,2008-09-27,2008/2009
69230,True,Osasuna,Barcelona,2009-01-11,2008/2009
69149,True,Barcelona,Valencia,2008-12-06,2008/2009
69151,True,Levante,Barcelona,2007-09-29,2007/2008
69144,True,Barcelona,Atlético Madrid,2007-10-07,2007/2008
69169,True,Barcelona,Athletic Bilbao,2007-09-02,2007/2008
68360,True,Barcelona,Levante,2008-02-24,2007/2008
69186,True,Real Murcia,Barcelona,2008-05-17,2007/2008
69180,True,Racing Santander,Barcelona,2007-08-26,2007/2008
69143,True,Barcelona,Real Zaragoza,2007-09-26,2007/2008
69181,True,Athletic Bilbao,Barcelona,2008-01-27,2007/2008
68365,True,Atlético Madrid,Barcelona,2008-03-01,2007/2008
69178,True,Getafe,Barcelona,2007-11-10,2007/2008
68364,True,Villarreal,Barcelona,2007-10-20,2007/2008
69170,True,Barcelona,Deportivo La Coruna,2007-12-09,2007/2008
68359,True,Barcelona,Espanyol,2008-04-19,2007/2008
68356,True,Espanyol,Barcelona,2007-12-01,2007/2008
69158,True,Barcelona,Almería,2007-10-28,2007/2008
69187,True,Barcelona,Osasuna,2008-02-03,2007/2008
68363,True,Real Valladolid,Barcelona,2007-11-01,2007/2008
69166,True,Barcelona,Real Betis,2007-11-04,2007/2008
68366,True,Barcelona,Mallorca,2008-05-11,2007/2008
69148,True,Barcelona,Sevilla,2007-09-22,2007/2008
69184,True,Barcelona,Recreativo Huelva,2007-11-24,2007/2008
69173,True,Barcelona,Racing Santander,2008-01-20,2007/2008
69146,True,Sevilla,Barcelona,2008-02-09,2007/2008
69182,True,Real Zaragoza,Barcelona,2008-02-16,2007/2008
68358,True,Recreativo Huelva,Barcelona,2008-04-12,2007/2008
68361,True,Real Madrid,Barcelona,2008-05-07,2007/2008
69141,True,Barcelona,Valencia,2008-05-04,2007/2008
69145,True,Valencia,Barcelona,2007-12-15,2007/2008
69176,True,Atlético Madrid,Barcelona,2007-05-20,2006/2007
69179,True,Real Zaragoza,Barcelona,2007-04-07,2006/2007
68334,True,Sevilla,Barcelona,2007-03-03,2006/2007
68333,True,Barcelona,Athletic Bilbao,2007-02-25,2006/2007
68336,True,Gimnàstic Tarragona,Barcelona,2007-06-17,2006/2007
68326,True,Celta Vigo,Barcelona,2006-08-28,2006/2007
69162,True,Barcelona,Real Betis,2007-05-13,2006/2007
68335,True,Barcelona,Real Madrid,2007-03-10,2006/2007
68332,True,Valencia,Barcelona,2007-02-18,2006/2007
68330,True,Real Madrid,Barcelona,2006-10-22,2006/2007
68329,True,Barcelona,Sevilla,2006-10-15,2006/2007
68341,True,Recreativo Huelva,Barcelona,2007-03-17,2006/2007
69165,True,Barcelona,Espanyol,2007-06-09,2006/2007
69155,True,Villarreal,Barcelona,2007-04-22,2006/2007
69154,True,Barcelona,Racing Santander,2007-02-11,2006/2007
